Neighborhood,TotalFloorSpace,BedroomsCount,ParkingsAvailable,BalconyArea,SalePrice
22,1504,1,2,156,181000
1,985,3,1,210,149900
12,1657,3,2,0,163500
15,1092,3,1,238,88000
5,1710,3,2,100,240000
24,1522,4,0,0,102000
10,1271,4,1,0,135000
16,1664,4,0,0,100000
3,1502,3,1,96,165000
8,1022,2,1,0,85000
12,1082,2,1,0,119200
7,1665,3,2,0,227000
1,1504,3,2,115,203000
19,1360,1,2,63,187500
18,1472,3,2,164,160000
22,1506,2,2,142,213490
16,1132,2,2,252,176000
1,1220,2,2,105,194000
8,1248,2,1,0,87000
22,1504,2,2,156,191000
17,2898,2,2,0,287000
1,882,3,2,96,112500
12,1264,3,2,0,167500
17,1646,3,3,192,293077
12,1376,3,1,0,105000
23,1218,3,1,0,118000
24,1928,5,0,0,160000
24,3082,5,2,136,197000
4,2520,5,3,209,310000
1,1654,3,3,0,230000
3,954,2,1,0,119750
16,845,3,1,186,84000
17,1620,2,3,228,315500
1,2263,3,2,0,287000
15,1344,3,0,0,97000
15,630,1,1,0,80000
10,1803,3,2,0,155000
7,1632,4,2,0,173000
11,1306,1,2,170,196000
13,2329,4,2,192,262280
7,2524,4,2,474,278000
16,1733,4,2,0,139600
19,2868,4,3,214,556581
1,990,3,2,0,145000
5,1771,3,2,0,115000
16,930,2,1,0,84900
18,1302,3,2,0,176485
1,1316,3,2,0,200141
12,1977,4,2,0,165000
16,1526,4,1,116,144500
1,1989,3,2,199,255000
7,1523,3,2,0,180000
11,1364,2,2,192,185850
4,1850,3,2,168,248000
11,2184,3,3,0,335000
3,1991,3,2,0,220000
19,1338,2,2,0,213500
14,894,2,3,0,81000
8,2337,5,2,0,90000
8,1103,2,2,166,110500
12,1154,3,2,0,154000
20,2260,3,2,296,328000
18,1571,3,2,0,178000
12,1611,4,2,328,167900
15,2521,5,2,728,151400
12,893,2,2,0,135000
12,1048,3,1,0,135000
7,1556,4,2,0,154000
16,1456,4,1,0,91500
16,1426,3,2,252,159500
1,1240,2,3,140,194000
3,1740,3,1,0,219500
8,1466,3,2,436,170000
12,1096,3,1,240,138800
1,848,1,2,140,155900
1,990,3,1,0,126000
7,1258,3,2,55,145000
10,1040,3,1,0,133000
1,1459,3,2,192,192000
12,1251,3,1,0,160000
18,1498,3,2,315,187500
13,996,2,2,120,147000
15,1092,3,1,120,83500
6,1953,3,3,160,252000
16,1709,3,2,0,137500
6,1247,1,2,0,197000
12,1040,2,2,0,92900
6,1252,2,2,0,160000
24,1694,4,2,342,136500
12,1200,1,2,0,146000
12,936,2,1,0,129000
1,1314,3,2,0,176432
14,1355,3,0,136,127000
19,1088,2,2,0,170000
9,1324,3,1,0,128000
7,1601,3,2,0,157000
24,438,1,1,0,60000
12,950,3,1,0,119500
12,1134,2,1,0,135000
12,1194,3,2,0,159500
23,1302,3,2,0,106000
4,2622,3,2,186,325000
13,1442,3,2,0,179900
18,2021,3,2,0,274725
18,1690,3,2,100,181000
11,1836,3,3,125,280000
18,1658,3,2,224,188000
7,1964,4,2,0,205000
12,816,2,1,0,129900
12,1008,2,1,0,134500
8,833,2,1,0,117000
11,1734,3,3,0,318000
18,1419,3,2,120,184100
10,894,3,2,0,130000
10,1601,3,1,280,140000
12,1040,3,1,140,133700
14,1012,2,1,0,118400
1,1552,3,3,144,212900
16,960,3,1,64,112000
16,698,2,0,0,118000
18,1482,3,2,100,163900
12,1005,2,2,0,115000
22,1555,2,3,143,174000
18,1530,3,3,144,259000
18,1959,4,2,100,215000
8,936,2,2,49,140000
24,1981,4,2,431,135000
5,974,3,0,0,93500
8,2210,5,1,0,117500
13,2020,3,2,0,239500
18,1600,3,2,100,169000
9,986,2,1,0,102000
12,1252,3,1,0,119000
10,1020,2,0,0,94000
5,1567,2,2,264,196000
9,1167,3,2,0,144000
12,952,2,2,0,139000
7,1868,4,2,448,197500
1,2828,4,3,125,424870
10,1006,3,0,0,80000
16,924,2,1,0,80000
9,1576,3,1,0,149000
13,1298,3,2,165,180000
3,1564,3,1,0,174500
8,1111,2,1,0,116900
8,1482,3,2,0,143000
12,932,2,1,0,124000
16,1466,3,2,0,149900
3,1811,2,2,0,230000
14,816,2,1,0,120500
12,1820,4,2,60,201800
2,1437,3,2,0,218000
12,1265,3,2,0,179900
11,1314,2,2,172,230000
6,1580,3,3,0,235128
7,1876,4,2,0,185000
21,1456,3,2,26,146000
3,1640,3,2,108,224000
10,894,3,2,0,129000
10,1258,0,2,120,108959
2,1432,2,2,168,194000
11,1502,3,2,0,233170
1,1694,3,3,160,245350
18,1671,3,2,0,173000
16,2108,4,2,0,235000
4,3627,4,3,361,625000
5,1118,3,1,203,171000
12,1261,3,2,0,163000
6,1250,2,2,0,171900
20,3086,3,0,122,200500
3,2345,4,2,0,239000
4,2872,4,2,0,285000
5,923,3,1,362,119500
8,1224,3,1,0,115000
3,1343,3,1,192,154900
16,1124,3,0,0,93000
17,2514,4,2,0,250000
3,1652,2,2,162,392500
4,4476,4,3,171,745000
8,1130,2,2,229,120000
17,1572,3,3,0,186700
16,1221,4,1,0,104900
8,1699,3,2,0,95000
4,1624,2,3,0,262000
1,1660,3,2,144,195000
18,1804,3,2,140,189000
5,1622,3,4,439,168000
6,1441,2,2,206,174000
8,1472,3,1,0,125000
5,1224,2,2,0,165000
10,1352,4,1,379,158000
18,1456,3,2,100,176000
18,1863,4,3,100,219210
8,1690,3,1,0,144000
1,1212,3,2,356,178000
10,1382,3,2,0,148000
12,864,3,1,0,116050
1,1779,3,2,198,197900
9,1348,3,1,0,117000
1,1630,3,2,74,213000
7,1074,3,2,0,153500
13,2196,3,3,84,271900
13,1056,2,1,0,107000
1,1700,3,2,192,200000
12,1283,3,2,0,140000
6,1660,3,2,322,290000
13,1845,3,2,635,189000
18,1752,4,2,325,164000
16,672,2,1,0,113000
10,960,0,1,88,145000
12,999,3,1,150,134500
10,894,3,1,0,125000
10,1902,4,2,0,112000
6,1314,3,2,135,229456
9,912,2,0,0,80500
23,1218,3,0,201,91500
12,912,2,1,0,115000
10,1211,3,1,0,134000
12,1846,3,1,0,143000
12,2136,4,2,0,137900
18,1490,3,2,100,184000
12,1138,3,1,224,145000
6,1933,4,3,100,214000
12,912,2,2,0,147000
11,1702,1,3,0,367294
12,1507,4,1,0,127000
10,2620,4,2,155,190000
12,1190,3,2,0,132500
12,1224,2,2,0,101800
12,1188,3,2,0,142000
24,1964,4,0,0,130000
3,1784,4,1,203,138887
11,1626,2,2,0,175500
1,1948,4,2,100,195000
13,1141,3,2,0,142500
17,1484,2,2,120,265900
1,1768,3,2,0,224900
6,1689,3,3,0,248328
7,1173,3,2,0,170000
11,2076,2,3,216,465000
3,1517,3,2,0,230000
7,1868,3,2,268,178000
6,1553,3,2,0,186500
5,1034,3,3,0,169900
8,2058,3,2,0,129500
12,988,3,1,0,119000
12,2110,3,2,0,244000
11,1405,2,2,148,171750
5,874,3,1,33,130000
2,2167,3,2,220,294000
16,1656,3,2,178,165400
9,1367,3,1,0,127500
4,1987,2,2,262,301500
16,864,2,0,0,99900
18,1166,2,2,212,190000
12,1054,3,2,180,151000
18,1675,3,2,0,181000
12,1050,2,1,0,128900
20,1788,5,1,120,161500
9,1824,3,2,0,180500
12,1337,2,2,144,181000
6,1452,3,2,0,183900
8,1889,4,1,0,122000
17,2018,3,3,144,378500
3,3447,4,3,314,381000
12,1524,3,1,0,144000
20,1524,0,2,268,260000
7,1489,3,2,0,185750
10,935,3,1,180,137000
16,1357,2,1,0,177000
3,1250,3,2,242,139000
12,1920,4,2,0,137000
7,1395,3,2,294,162000
7,1724,3,2,0,197900
1,2031,3,2,0,237000
14,1128,2,2,30,68400
1,1573,3,2,0,227000
17,1339,2,2,0,180000
1,1040,3,2,0,150500
5,1824,4,0,128,139000
24,2447,4,1,272,169000
9,1412,4,1,45,132500
7,1328,3,2,0,143000
20,1582,4,2,168,190000
19,1659,2,2,212,278000
11,1970,3,3,177,281000
12,1152,3,2,227,180500
23,1302,3,1,185,119500
8,2372,4,1,0,107500
7,1664,4,2,0,162900
16,864,2,2,0,115000
12,1052,3,1,356,138500
12,1128,3,2,192,155000
16,1072,2,2,0,140000
16,5642,3,2,214,160000
12,1246,3,1,218,154000
18,1983,3,2,0,225000
3,1494,3,1,0,177500
4,2526,4,3,309,290000
6,1616,3,3,208,232000
16,1708,3,2,0,130000
11,1652,2,2,404,325000
11,1368,2,2,132,202500
1,990,3,2,0,138000
8,1122,2,2,0,147000
13,1294,3,2,112,179200
3,1902,3,2,0,335000
1,1274,3,2,264,203000
4,2810,4,2,500,302000
4,2599,4,3,668,333168
16,948,3,1,0,119000
12,2112,4,2,280,206900
1,1630,3,3,172,295493
6,1352,2,2,0,208900
1,1787,3,3,198,275000
16,948,3,1,0,111000
12,1478,3,2,114,156500
9,720,2,1,0,72500
4,1923,3,2,240,190000
9,708,2,0,164,82500
6,1795,2,3,0,147000
14,796,2,0,0,55000
16,774,3,0,0,79000
5,816,3,1,0,130500
8,2792,5,2,0,256000
18,1632,3,2,0,176500
6,1588,3,3,144,227000
1,954,3,2,0,132500
16,816,2,1,0,100000
14,1360,2,1,0,125500
23,1365,3,2,0,125000
7,1334,2,2,0,167900
7,1656,4,2,0,135000
8,693,2,0,0,52500
1,1861,3,2,146,200000
1,864,3,1,0,128500
12,872,3,4,0,123000
13,1114,3,2,0,155000
1,2169,3,2,192,228500
3,1913,3,2,0,177000
1,1456,3,2,0,155835
8,960,2,1,0,108500
7,2156,3,2,0,262500
17,1776,3,3,0,283463
13,1494,3,2,402,215000
8,2358,4,0,0,122000
12,2634,6,4,0,200000
12,1716,4,2,0,171000
9,1176,2,2,210,134900
4,3238,4,3,283,410000
1,1865,3,3,0,235000
7,1920,4,2,0,170000
12,892,3,1,0,110000
12,1078,3,2,0,149900
6,1573,3,2,0,177500
11,1980,3,3,194,315000
24,2601,4,2,183,189000
19,1530,3,2,168,260000
12,1738,4,1,55,104900
18,1412,3,2,0,156932
6,1200,2,2,0,144152
6,1674,3,2,0,216000
1,1790,3,2,0,193000
15,1475,4,1,104,127000
1,848,1,2,140,144000
1,1668,3,2,0,232000
8,1374,2,1,0,105000
12,1661,3,1,0,165500
1,2097,3,2,253,274300
4,2633,2,3,314,466500
6,1958,3,3,154,250000
17,1571,3,3,100,239000
24,790,2,1,0,91000
16,1604,3,2,0,117000
23,987,2,1,72,83000
17,1394,3,2,100,167500
16,864,2,1,0,58500
12,2117,4,2,0,237500
8,1762,4,2,36,157000
10,1416,3,2,0,112000
16,1258,2,1,0,105000
14,1154,3,1,0,125500
7,2784,5,2,0,250000
8,2526,5,1,88,136000
18,1746,3,3,201,377500
9,1218,3,2,0,131000
1,1525,3,2,219,235000
12,1584,4,3,0,124000
12,900,3,1,175,123000
8,1912,3,2,0,163000
22,1500,2,3,161,246578
17,2482,4,3,144,281213
17,1687,3,2,0,160000
9,1513,4,1,24,137500
12,1904,3,1,0,138000
24,1608,3,1,147,137450
9,1158,3,1,0,120000
18,1593,3,2,100,193000
1,1294,2,2,168,193879
6,1464,3,3,168,282922
8,1214,3,3,216,105000
3,1646,2,2,128,275000
1,768,2,2,58,133000
5,833,3,0,0,112000
8,1363,3,2,0,125500
7,2093,3,2,364,215000
1,1840,3,2,0,230000
12,1668,3,1,0,140000
12,1040,2,2,0,90000
13,1844,2,2,165,257000
9,1848,4,2,0,207000
22,1569,1,3,143,175900
8,2290,4,2,0,122500
4,2450,3,3,0,340000
12,1144,3,1,0,124000
3,1844,3,2,0,223000
7,1416,3,2,0,179900
21,1069,2,2,0,127500
1,848,1,2,140,136500
16,2201,4,2,586,274970
12,1344,2,1,316,144000
12,1252,3,2,0,142000
4,2127,3,2,171,271000
12,1558,3,1,0,140000
8,804,2,1,0,119000
7,1440,3,2,0,182900
18,1838,4,2,100,192140
21,958,2,2,0,143750
8,968,4,1,0,64500
18,1792,3,2,0,186500
5,1126,3,2,295,160000
12,1537,3,2,0,174000
12,864,3,2,0,120500
11,1932,2,3,0,394617
8,1236,2,2,0,149700
7,1725,3,2,0,197000
3,2555,3,2,431,191000
1,848,1,2,149,149300
6,2007,3,3,168,310000
9,952,2,1,0,121000
1,1422,3,2,192,179600
10,913,3,1,0,129000
5,1188,3,1,261,157900
1,2090,3,2,0,240000
16,1346,2,1,168,112000
15,630,1,0,0,92000
12,1792,4,0,32,136000
6,1578,3,3,0,287090
16,1072,2,2,0,145000
5,1140,3,0,36,84500
6,1221,2,2,0,185000
18,1647,3,2,0,175000
7,2073,3,2,349,210000
3,2340,4,1,0,266500
12,1078,2,1,366,142125
16,1256,3,1,736,147500
